1 1:7.32481031856 2:0.985935684655 3:0.79525980444 4:0.398140761703 5:0.500985844517 6:0.488700966042 7:0.372738740648 8:0.387234452546 9:-0.00191040194189 10:0.0407472786491 11:0.0156243571518 12:0.185231964004 13:0.149037693621 14:-0.00800691430257 15:0.081200848699 16:0.0793304136567 17:-0.00475634440507
1 1:21.6429217521 2:1.73690062867 3:0.862789692649 4:0.0990431470839 5:0.369323710241 6:0.27081777108 7:0.156558142173 8:0.188268703264 9:0.0421770554987 10:-0.00231985483945 11:0.0705482523511 12:0.141641549368 13:0.134212923889 14:-0.00878253637956 15:0.0943320259598 16:0.088809323503 17:0.00938730346381
1 1:6.65196817696 2:0.278654377041 3:0.783596932264 4:0.262701152386 5:0.2340862708 6:0.185133445465 7:0.152668479215 8:0.152272610111 9:0.0327369394129 10:0.105677692582 11:0.0296322400413 12:0.122709493477 13:0.113882682727 14:0.0347028340344 15:0.0882008242396 16:0.0787775406414 17:-0.00980760005617
1 1:11.1712990612 2:0.742187516251 3:0.686471256236 4:0.311426348359 5:0.527457218365 6:0.314772305089 7:0.317755266148 8:0.235949209166 9:0.167770453095 10:0.10453793034 11:0.136926532146 12:0.126178758682 13:0.124425560204 14:-0.0184262320565 15:0.0916103106654 16:0.0875204353092 17:-0.00194054791642
1 1:23.8384349072 2:0.965112540629 3:0.837620070824 4:0.127602463264 5:0.207486634814 6:0.161026428408 7:0.152326196601 8:0.136364921283 9:-0.0552909526153 10:-0.0495826575889 11:0.00977018248044 12:0.126634510759 13:0.110999178012 14:0.00282252415036 15:0.0896422771229 16:0.0748552471915 17:-0.000757214011578
1 1:6.54537035204 2:0.750630332921 3:0.841621783181 4:0.232486110483 5:0.849245004728 6:0.662563222282 7:0.397132004829 8:0.362947624022 9:0.0505530661687 10:-0.0401992463469 11:0.0990346471268 12:0.185794122255 13:0.141355585007 14:-0.0277235282708 15:0.0965546694247 16:0.0873529440891 17:-0.0204413188477
1 1:24.1439491218 2:1.70031936305 3:0.794627008702 4:0.256913864566 5:0.210117569289 6:0.200155048549 7:0.164141846399 8:0.173571481886 9:0.0774051639907 10:0.0637255372693 11:-0.144244708625 12:0.129444404626 13:0.114397628813 14:0.00860913951403 15:0.0807597385251 16:0.0746956743739 17:-0.00806952026326
1 1:11.4970258099 2:0.721967964126 3:0.737824079219 4:0.225411133375 5:0.322540846211 6:0.27173651032 7:0.188105295481 8:0.203382935075 9:0.167444906442 10:0.138808959865 11:0.0422913737213 12:0.135967940358 13:0.136229933189 14:-0.0039264181394 15:0.0982900244623 16:0.0876274692781 17:0.00857346997414
1 1:18.2370423492 2:0.92264292813 3:0.736873843777 4:0.418487591411 5:0.248886794415 6:0.222988744635 7:0.16652636233 8:0.166267908599 9:-0.0463074483641 10:-0.046456285347 11:-0.0485669590544 12:0.115206909347 13:0.130603627658 14:0.0124276455417 15:0.0919482601421 16:0.0851912493735 17:0.0222858349806
1 1:20.8730831759 2:0.95004610406 3:0.725002908811 4:0.219509458082 5:0.179251823285 6:0.19130837306 7:0.146942857616 8:0.137372917138 9:0.133954139219 10:0.111023458249 11:-0.0707473011349 12:0.108829276752 13:0.108317725205 14:0.0299387954492 15:0.0779787974718 16:0.0801514345273 17:0.00108560702525
1 1:16.8578279982 2:0.892522485484 3:0.84023811524 4:0.113388032157 5:0.280700863587 6:0.205785052344 7:0.197534166515 8:0.158478193902 9:0.307266673158 10:-0.110113172679 11:-0.0624679641552 12:0.128322676867 13:0.108131853059 14:-0.00336831843304 15:0.0834527493485 16:0.0693576376715 17:0.0122669041452
1 1:16.2572769609 2:0.951241989034 3:0.660443607884 4:0.278265627799 5:0.218972497155 6:0.166867394223 7:0.135871181498 8:0.158046491528 9:0.0150195246624 10:0.18931299419 11:0.0351005171898 12:0.132072659983 13:0.132849994869 14:-0.00634928816313 15:0.0835302210364 16:0.0776764927026 17:0.00650323531209
1 1:7.41225418254 2:1.194476787 3:0.748157037949 4:0.229441594242 5:0.506572404988 6:0.355992241504 7:0.170054521501 8:0.160337591608 9:-0.0183110820945 10:0.019599541342 11:0.00667576015161 12:0.12723267866 13:0.126671282209 14:0.0244593039298 15:0.0827353606991 16:0.076643497849 17:-0.00476599993306
1 1:13.0839968078 2:2.32788677178 3:0.797859482462 4:0.147450411949 5:0.734003585526 6:0.3616414011 7:0.213251188048 8:0.206649387945 9:-0.066517415029 10:0.0803662265044 11:-0.0406429566747 12:0.147151886259 13:0.135270591815 14:0.00830527873771 15:0.0901635290053 16:0.0896255159511 17:-0.0559516364053
1 1:5.55455389459 2:0.252071939423 3:0.760010506951 4:0.236055816987 5:0.165717438084 6:0.209742452151 7:0.164796004956 8:0.144993706139 9:0.0718518040876 10:0.142889531264 11:0.0518176771643 12:0.126758844676 13:0.111186394556 14:0.0172200060972 15:0.0833994267237 16:0.0809052878887 17:-0.00361130197878
1 1:4.4013427689 2:0.469005375515 3:0.70104873855 4:0.264092656432 5:0.292176519763 6:0.2340959507 7:0.224676585938 8:0.205012812471 9:0.00669843078506 10:-0.0619826843488 11:-0.0356621484309 12:0.140759463486 13:0.112488880656 14:0.0117052307151 15:0.0803542194585 16:0.0741109782829 17:-0.0205622392738
1 1:18.3113025913 2:0.883516039477 3:0.755433683033 4:0.174534973581 5:0.209474163548 6:0.166068160099 7:0.143525410311 8:0.139947655208 9:0.0219325771476 10:0.0841192145308 11:0.0731371125085 12:0.122008279966 13:0.123821925803 14:0.0617197149793 15:0.0796101756644 16:0.0713037375557 17:0.00534640164404
1 1:9.08721903457 2:0.51334924783 3:0.835170903435 4:0.141545455168 5:0.264079446154 6:0.216678854799 7:0.172464690144 8:0.144745791176 9:-0.191984797949 10:-0.0562820169758 11:0.0921440348817 12:0.118060373222 13:0.121082213941 14:-0.0101458007962 15:0.0916873700799 16:0.079745465008 17:0.044342067849
1 1:9.18737973169 2:0.553498044769 3:0.876198040619 4:0.164860018475 5:0.246314536367 6:0.200701742741 7:0.15714396375 8:0.158385226166 9:-0.0561258046686 10:0.00304906411166 11:0.0395967544733 12:0.124752778238 13:0.115148955737 14:0.0208214058634 15:0.0715934335116 16:0.0777881266952 17:0.00459138958698
1 1:6.8908313282 2:0.479714214243 3:0.644634741039 4:0.563769799589 5:0.155755476152 6:0.153313677306 7:0.145557235724 8:0.157129856341 9:0.125113627567 10:0.120858887487 11:0.0280956799778 12:0.11254267241 13:0.10301744158 14:0.0248492759965 15:0.0809369072476 16:0.0812654509964 17:-0.00390834505473
1 1:13.701747573 2:1.96378035997 3:0.744072131819 4:0.204064118756 5:0.248468130939 6:0.39923601346 7:0.167258870216 8:0.158190592591 9:0.149621704864 10:-0.0432359830425 11:0.0367308223892 12:0.112040462478 13:0.107856050879 14:0.0177523782213 15:0.0856701033509 16:0.0751280609081 17:-0.00358261534915
1 1:9.21380932848 2:0.418829122547 3:0.775421387591 4:0.140320064624 5:0.265909792388 6:0.145934309111 7:0.15161784164 8:0.135741611554 9:0.0650429836819 10:0.00300246479212 11:0.0285090627609 12:0.128703550251 13:0.11589052281 14:0.00358545975689 15:0.076865754159 16:0.0752618907438 17:-0.000715682059559
1 1:15.426437974 2:1.20749395578 3:0.780999323004 4:0.261537350601 5:0.34152374505 6:0.159036088385 7:0.143245861271 8:0.161813841575 9:0.0216356584911 10:0.123115294703 11:-0.111742476117 12:0.117584726528 13:0.114259921676 14:-0.0667303965022 15:0.0747862571802 16:0.0703583058656 17:-0.0114515781132
1 1:10.4222747213 2:0.656237474602 3:0.721125802986 4:0.285735788408 5:0.428219629664 6:0.290951463493 7:0.248719139804 8:0.217896346919 9:0.216197516811 10:-0.0877189659963 11:0.0373618300679 12:0.128181074064 13:0.129566775196 14:-0.0588504876313 15:0.0846586243073 16:0.0787505640408 17:-0.00260743027997
3 1:31.4201172982 2:10.6998796465 3:0.793230345666 4:0.567878691773 5:0.98420730021 6:0.437897868593 7:0.284444028566 8:0.30270545512 9:0.128349338432 10:0.143907743345 11:0.0877858497185 12:0.251512235163 13:0.29998750006 14:-0.0131252902502 15:0.14136256362 16:0.104876235511 17:-0.00832801762029
3 1:36.4139644181 2:16.9231999905 3:0.840454692269 4:0.498499742204 5:0.432022813295 6:0.299090242608 7:0.275032319297 8:0.186887557816 9:-0.154415838423 10:-0.0138076231418 11:0.111890788258 12:0.139471384221 13:0.135143466411 14:0.0580013687832 15:0.091782242959 16:0.083447643156 17:-0.00119158303608
3 1:40.3713158724 2:9.12894675374 3:0.844606466095 4:0.460058873503 5:0.378358719926 6:0.242859713971 7:0.251736505894 8:0.201170406984 9:-0.00206262714604 10:-0.00342280179344 11:0.0946571197911 12:0.132998820688 13:0.120369394101 14:0.0429761842905 15:0.0863333146502 16:0.0830222950502 17:-0.0342385826149
3 1:16.8976916198 2:5.96479991392 3:0.813479446774 4:0.44519742976 5:0.708773225669 6:0.506476713304 7:0.209211732214 8:0.232346774946 9:-0.107196927507 10:0.0219757124088 11:0.0489340830049 12:0.155029052779 13:0.136172315299 14:0.000937160227107 15:0.0861500646036 16:0.080188241511 17:0.00743220428585
3 1:23.5230100176 2:4.63977482188 3:0.871751625272 4:0.398998050058 5:0.20768918393 6:0.319695311461 7:0.178045955315 8:0.16622846789 9:-0.0244565148535 10:-0.175487673552 11:0.0316916531535 12:0.162944171697 13:0.105879923874 14:-0.131363125728 15:0.0701607674913 16:0.0582298428813 17:0.15066945158
3 1:39.6248708622 2:9.2274709352 3:0.851162340098 4:0.38043387011 5:0.363749947869 6:0.350540985702 7:0.184977343952 8:0.180279165062 9:-0.0245684616893 10:0.00191679837593 11:-0.00801054626308 12:0.149147010621 13:0.122344763381 14:0.00466628639785 15:0.0845977754863 16:0.090831131385 17:-0.014005170852
3 1:31.8009102408 2:5.87033144623 3:0.831172307046 4:0.208161204916 5:0.759487750567 6:0.523874517606 7:0.31386375045 8:0.478314274664 9:-0.601430345266 10:-0.42955220837 11:-0.208296429333 12:0.147769243128 13:0.111638677431 14:0.0331766973747 15:0.0932486938976 16:0.110983910964 17:-1.81945029683e-05
3 1:31.0801352739 2:5.56615135907 3:0.815925366576 4:0.169220360041 5:1.01095103238 6:0.526866846328 7:0.293582891513 8:0.318860136495 9:0.0643315137886 10:-0.00274804851647 11:-0.104059022578 12:0.193599183069 13:0.21392796897 14:0.0166414885007 15:0.119171232368 16:0.123046576931 17:0.0140618097639
